Title,View
"
      In voice chat, when I get a voice call, I will be out of the voice chat.
    ","In voice chat, when I get a voice call, I will be out of the voice chat.  while the voice chat is supposed to be just muted until the voice call is completed and then the voice of the voice chat returns…"
"
      Wrong direction of moving in RTL names of channels
    ","Description: If a channel's name is longer than the mobile screen's width, it will be moved from side to side. That's known. The issue is: when it's in Arabic (or essentially any RTL lang), it will be…"
"
      Voice message distortion (2x speed, PC)
    ","The double speed of the voice message distorts the voice and the purity of the message from the desktop version of telegrams, everything works well from the phone (example of the desktop and phone versions…"
"
      When scrolling chat back to older messages it jumps and skips a big chunk of them. You can't scroll down to them neither, again jumps through them
    ","When scrolling chat back to older messages it jumps and skips a big chunk of them. You can't scroll down to them neither, again jumps through them Steps to reproduce 1. Open a chat with a lot of messages…"
"
      [Ubuntu 20.04] Mouse wheel scrolling stops working
    ","Sometimes scrolling (with a mouse wheel) stops working. In groups or channels, doesn't matter. Only restarting telegram helps. Steps to reproduce Don't know how to reproduce it, it  happens randomly Device…"
"
      Telegram channel photo changed: after seeing the photo, the photo suddenly disappears!
    ","Telegram channel photo changed: after seeing the photo, the photo suddenly disappears! Steps to reproduce 1. Enter the Telegram channel (https://t.me/telegram) 2. Go to the first message (it does not…"
"
      Please delete this section when logging in to your account!
    ","When you install Telegram and enter the number, after logging in to your Telegram account, it will ask you for some of the required permissions. After confirming these accesses, Telegram suddenly asks…"
"
      Call not stopping after accepting on other device
    ","App is not ending call, when it was answered from another device. So call might continue ringing on this device for hours. Steps to reproduce Open telegram account app on the ipad Block the ipad Open…"
"
      Invisible reaction list
    ","Steps to reproduce 1. In a private chat add a reaction to a message 2. Long tap on the added reaction Current result A menu appears to show the reaction list, but the profile information is never loaded…"
"
      Glitchy reactions+Different set of reactions
    ","Face with tears of joy(😂) and Loudly crying face(😭) exits in the reactions in the setting but not in the reactions in the chat, and poop(💩) and vomiting face(🤮) exits in the quick reactions but not in…"
"
      The app crashes when mentioning users in media captions
    ",The app crashes when mentioning (tagging) users while adding a media caption. The bug does not happen to all users. Steps to reproduce 1. Open a chat. 2. Choose media to upload. 3. Add the @ symbol. Current…
"
      Unknown people appear in the contact list
    ","If you have contacts in your Telegram account which you don't recognize, you have most likely logged in on another person's phone – and uploaded their contacts to your account by accident. You can wipe…"
"
      App uses a lot of storage
    ",If you go to Android Storage Settings > Telegram you may notice that the app takes up a lot of space. Clearing Telegram's cache will not remove it. This happens due to how Journal mode WAL works. More…
"
      Polls exceed the screen size after device rotations
    ",Steps to reproduce 1. Go to any chat to find a poll 2. Rotate your screen to landscape mode 3. Open the profile of the chat 4. Rotate your screen to portrait mode 5. Return to the chat Current result…
"
      Cannot unpin messages pinned before the upgrade to supergroup
    ","Related: Similar issue on iOS If you have a basic group chat that already has Pinned Messages, then you upgrade the basic group chat to a supergroup, it won't be possible to unpin them. Workaround Deleting…"
"
      Notification categories repeatedly created and deleted
    ",Thousands of notification categories are created and deleted. Users are forced to use the in-app notification settings which are not up-to-date with the latest Android changes. Steps to reproduce 1. Open…
"
      Fails to ring on mobile: incoming calls muted.
    ","After receiving calls on telegram desktop (answering mainly on desktop), telegram mobile stops playing ringtone for incoming calls - calls on mobile behave as if muted (regardless of selected ringtone).…"
"
      Unicode 13.0 is not supported
    ",Steps to reproduce 1. Send any of https://emojipedia.org/unicode-13.0/ emoji Current result Squares are seen  Expected result Emojis should be visible Device info Any device and OS are affected
